headword,pronunciation
niekapowanie,ˌ ɲ ɛ k a p ɔ ˈ v ã ɲ ɛ
niekaranie,ˌ ɲ ɛ k a ˈ r ã ɲ ɛ
niekarmienie,ˌ ɲ ɛ k a r ˈ mʲ j ɛ̇̃ ɲ ɛ
niekastrowanie,ˌ ɲ ɛ k a s t r ɔ ˈ v ã ɲ ɛ
niekibicowanie,ˌ ɲ ɛ̇ c i bʲ i t s̑ ɔ ˈ v ã ɲ ɛ
niekiblowanie,ˌ ɲ ɛ̇ c i b l ɔ ˈ v ã ɲ ɛ
niekiedy,ɲ ɛ̇ ˈ c ɛ d ɨ
niekierowanie,ˌ ɲ ɛ̇ c ɛ r ɔ ˈ v ã ɲ ɛ
niekiszenie,ˌ ɲ ɛ̇ c i ˈ ʃ ɛ̃ ɲ ɛ
nieklarowanie,ˌ ɲ ɛ k l a r ɔ ˈ v ã ɲ ɛ
nieklaskanie,ˌ ɲ ɛ k l a ˈ s k ã ɲ ɛ
niekodowanie,ˌ ɲ ɛ k ɔ d ɔ ˈ v ã ɲ ɛ
niekoherentny,ˌ ɲ ɛ k ɔ x ɛ ˈ r ɛ̃ n t n ɨ
niekokietowanie,ˌ ɲ ɛ k ɔ c ɛ t ɔ ˈ v ã ɲ ɛ
niekomedogenny,ˌ ɲ ɛ k ɔ̃ m ɛ d ɔ ˈ ɡ ɛ̃ nː ɨ
niekompetentny,ˌ ɲ ɛ k ɔ̃ m p ɛ ˈ t ɛ̃ n t n ɨ
niekonfigurowanie,ˌ ɲ ɛ k ɔ̃ n fʲ i ɡ u r ɔ ˈ v ã ɲ ɛ
niekonfliktowy,ˌ ɲ ɛ k ɔ̃ n f lʲ i k ˈ t ɔ v ɨ
niekonfundowanie,ˌ ɲ ɛ k ɔ̃ n f ũ n d ɔ ˈ v ã ɲ ɛ
niekonkludowanie,ˌ ɲ ɛ k ɔ̃ ŋ k l u d ɔ ˈ v ã ɲ ɛ
niekonkluzywnie,ˌ ɲ ɛ k ɔ̃ ŋ k l u ˈ z ɨ vʲ ɲ ɛ
niekonkluzywność,ˌ ɲ ɛ k ɔ̃ ŋ k l u ˈ z ɨ v n ɔ ɕ ʨ̑
niekonkluzywny,ˌ ɲ ɛ k ɔ̃ ŋ k l u ˈ z ɨ v n ɨ
niekonsekwentny,ˌ ɲ ɛ k ɔ̃ w̃ s ɛ ˈ k f ɛ̃ n t n ɨ
niekonserwowanie,ˌ ɲ ɛ k ɔ̃ w̃ s ɛ r v ɔ ˈ v ã ɲ ɛ
niekonstruowanie,ˌ ɲ ɛ k ɔ̃ w̃ s t r u s u p w s u p ɔ ˈ v ã ɲ ɛ
niekonstytucyjność,ˌ ɲ ɛ k ɔ̃ w̃ s t ɨ t u ˈ t s̑ ɨ j n ɔ ɕ ʨ̑
niekonstytucyjny,ˌ ɲ ɛ k ɔ̃ w̃ s t ɨ t u ˈ t s̑ ɨ j n ɨ
niekonsultowanie,ˌ ɲ ɛ k ɔ̃ w̃ s u l t ɔ ˈ v ã ɲ ɛ
niekontrolowanie,ˌ ɲ ɛ k ɔ̃ n t r ɔ l ɔ ˈ v ã ɲ ɛ
niekontrolowany,ˌ ɲ ɛ k ɔ̃ n t r ɔ l ɔ ˈ v ã n ɨ
niekontynuowanie,ˌ ɲ ɛ k ɔ̃ n t ɨ̃ n u s u p w s u p ɔ ˈ v ã ɲ ɛ
niekonwencjonalność,ˌ ɲ ɛ k ɔ̃ n v ɛ̃ n t s̑ʲ j ɔ̃ ˈ n a l n ɔ ɕ ʨ̑
niekonwencjonalny,ˌ ɲ ɛ k ɔ̃ n v ɛ̃ n t s̑ʲ j ɔ̃ ˈ n a l n ɨ
niekopanie,ˌ ɲ ɛ k ɔ ˈ p ã ɲ ɛ
niekopcenie,ˌ ɲ ɛ k ɔ p ˈ t s̑ ɛ̃ ɲ ɛ
niekopiowanie,ˌ ɲ ɛ k ɔ pʲ j ɔ ˈ v ã ɲ ɛ
niekorelowanie,ˌ ɲ ɛ k ɔ r ɛ l ɔ ˈ v ã ɲ ɛ
niekorkowanie,ˌ ɲ ɛ k ɔ r k ɔ ˈ v ã ɲ ɛ
niekoszenie,ˌ ɲ ɛ k ɔ ˈ ʃ ɛ̃ ɲ ɛ
niekoszerny,ˌ ɲ ɛ k ɔ ˈ ʃ ɛ r n ɨ
niekosztowanie,ˌ ɲ ɛ k ɔ ʃ t ɔ ˈ v ã ɲ ɛ
niekołowanie,ˌ ɲ ɛ k ɔ w ɔ ˈ v ã ɲ ɛ
niekończenie,ˌ ɲ ɛ k ɔ̃ j̃ n͇ ˈ t ʃ̑ ɛ̃ ɲ ɛ
niekrzywdzenie,ˌ ɲ ɛ k ʃ ɨ v ˈ d z̑ ɛ̃ ɲ ɛ
niekrążenie,ˌ ɲ ɛ k r ɔ̃ w̃ ˈ ʒ ɛ̃ ɲ ɛ
niekręcenie,ˌ ɲ ɛ k r ɛ̃ n ˈ t s̑ ɛ̃ ɲ ɛ
niektóry,ɲ ɛ ˈ k t u r ɨ
niekujonienie,ˌ ɲ ɛ k u j ɔ̇̃ ˈ ɲ ɛ̇̃ ɲ ɛ
niekukowanie,ˌ ɲ ɛ k u k ɔ ˈ v ã ɲ ɛ
niekulturalnie,ˌ ɲ ɛ k u l t u ˈ r a lʲ ɲ ɛ
niekumulowanie,ˌ ɲ ɛ k ũ m u l ɔ ˈ v ã ɲ ɛ
niekupowanie,ˌ ɲ ɛ k u p ɔ ˈ v ã ɲ ɛ
niekurwienie,ˌ ɲ ɛ k u r ˈ vʲ j ɛ̇̃ ɲ ɛ
niekwestionowanie,ˌ ɲ ɛ k f ɛ s tʲ j ɔ̃ n ɔ ˈ v ã ɲ ɛ
niekwokanie,ˌ ɲ ɛ k f ɔ ˈ k ã ɲ ɛ
niekąsanie,ˌ ɲ ɛ k ɔ̃ w̃ ˈ s ã ɲ ɛ
niekłamanie,ˌ ɲ ɛ k w ã ˈ m ã ɲ ɛ
nieleczenie,ˌ ɲ ɛ l ɛ ˈ t ʃ̑ ɛ̃ ɲ ɛ
nielegalnie,ˌ ɲ ɛ l ɛ ˈ ɡ a lʲ ɲ ɛ
nielegalność,ˌ ɲ ɛ l ɛ ˈ ɡ a l n ɔ ɕ ʨ̑
nielegalny,ˌ ɲ ɛ l ɛ ˈ ɡ a l n ɨ
nielekceważenie,ˌ ɲ ɛ l ɛ k t s̑ ɛ v a ˈ ʒ ɛ̃ ɲ ɛ
nieliczny,ɲ ɛ ˈ lʲ i t ʃ̑ n ɨ
nielituanizowanie,ˌ ɲ ɛ lʲ i t u s u p w s u p ã ɲ i z ɔ ˈ v ã ɲ ɛ
nielizanie,ˌ ɲ ɛ lʲ i ˈ z ã ɲ ɛ
nielogowanie,ˌ ɲ ɛ l ɔ ɡ ɔ ˈ v ã ɲ ɛ
nielojalnie,ˌ ɲ ɛ l ɔ ˈ j a lʲ ɲ ɛ
nielojalność,ˌ ɲ ɛ l ɔ ˈ j a l n ɔ ɕ ʨ̑
nielotność,ɲ ɛ ˈ l ɔ t n ɔ ɕ ʨ̑
nielubiany,ˌ ɲ ɛ l u ˈ bʲ j ã n ɨ
nieludzki,ɲ ɛ ˈ l u t s̑ʲ c i
niemachanie,ˌ ɲ ɛ̃ m a ˈ x ã ɲ ɛ
niemal,ˈ ɲ ɛ̃ m a l
niemalowanie,ˌ ɲ ɛ̃ m a l ɔ ˈ v ã ɲ ɛ
niemanipulowanie,ˌ ɲ ɛ̃ m ã ɲ i p u l ɔ ˈ v ã ɲ ɛ
niemarmoryzowanie,ˌ ɲ ɛ̃ m a r m ɔ r ɨ z ɔ ˈ v ã ɲ ɛ
niemarmurkowanie,ˌ ɲ ɛ̃ m a r m u r k ɔ ˈ v ã ɲ ɛ
niemarnotrawienie,ˌ ɲ ɛ̃ m a r n ɔ t r a ˈ vʲ j ɛ̇̃ ɲ ɛ
niemarnowanie,ˌ ɲ ɛ̃ m a r n ɔ ˈ v ã ɲ ɛ
niemcoznawca,ˌ ɲ ɛ̃ m t s̑ ɔ ˈ z n a f t s̑ a
niemcoznawczy,ˌ ɲ ɛ̃ m t s̑ ɔ ˈ z n a f t ʃ̑ ɨ
niemcoznawczyni,ˌ ɲ ɛ̃ m t s̑ ɔ z n a f ˈ t ʃ̑ ɨ̃ ɲ i
niemcoznawstwo,ˌ ɲ ɛ̃ m t s̑ ɔ ˈ z n a f s t f ɔ
niemelancholizowanie,ˌ ɲ ɛ̃ m ɛ l ã n x ɔ lʲ i z ɔ ˈ v ã ɲ ɛ
niemerdanie,ˌ ɲ ɛ̃ m ɛ r ˈ d ã ɲ ɛ
niemerowiński,ˌ ɲ ɛ̃ m ɛ r ɔ ˈ vʲ ĩ j̃ sʲ c i
niemetal,ɲ ɛ̃ ˈ m ɛ t a l
niemiauczenie,ˌ ɲ ɛ̃ mʲ j a w ˈ t ʃ̑ ɛ̃ ɲ ɛ
niemiecki,ɲ ɛ̃ ˈ mʲ j ɛ t s̑ʲ c i
niemieckojęzyczny,ɲ ɛ̃ ˈ mʲ j ɛ t s̑ k ɔ j ɛ̃ w̃ ˈ z ɨ t ʃ̑ n ɨ
niemienie,ɲ ɛ̃ ˈ mʲ j ɛ̇̃ ɲ ɛ
niemierzenie,ˌ ɲ ɛ̃ mʲ j ɛ ˈ ʒ ɛ̃ ɲ ɛ
niemieszkanie,ˌ ɲ ɛ̃ mʲ j ɛ ˈ ʃ k ã ɲ ɛ
niemieć,ˈ ɲ ɛ̃ mʲ j ɛ̇ ʨ̑
niemijanie,ˌ ɲ ɛ̃ mʲ i ˈ j ä̃ ɲ ɛ
niemilec,ɲ ɛ̃ ˈ mʲ i l ɛ t s̑
nieminięcie,ˌ ɲ ɛ̃ mʲ ĩ ˈ ɲ ɛ̇̃ ɲ ʨ̑ ɛ
niemiło,ɲ ɛ̃ ˈ mʲ i w ɔ
niemiłosierny,ˌ ɲ ɛ̃ mʲ i w ɔ ˈ ɕ ɛ r n ɨ
niemiłowanie,ˌ ɲ ɛ̃ mʲ i w ɔ ˈ v ã ɲ ɛ
niemiły,ɲ ɛ̃ ˈ mʲ i w ɨ
niemknięcie,ɲ ɛ̃ mʲ c ˈ ɲ ɛ̇̃ ɲ ʨ̑ ɛ
niemlaskanie,ˌ ɲ ɛ̃ m l a ˈ s k ã ɲ ɛ
niemnożenie,ˌ ɲ ɛ̃ m n ɔ ˈ ʒ ɛ̃ ɲ ɛ
niemoc,ˈ ɲ ɛ̃ m ɔ t s̑
niemodrzenie,ˌ ɲ ɛ̃ m ɔ ˈ ḍ ʒ ɛ̃ ɲ ɛ
niemoralny,ˌ ɲ ɛ̃ m ɔ ˈ r a l n ɨ
niemorzenie,ˌ ɲ ɛ̃ m ɔ ˈ ʒ ɛ̃ ɲ ɛ
niemowlę,ɲ ɛ̃ ˈ m ɔ v l ɛ
niemożliwy,ˌ ɲ ɛ̃ m ɔ ʒ ˈ lʲ i v ɨ
niemra,ˈ ɲ ɛ̃ m r a
niemrożenie,ˌ ɲ ɛ̃ m r ɔ ˈ ʒ ɛ̃ ɲ ɛ
niemultyplikowanie,ˌ ɲ ɛ̃ m u l t ɨ p lʲ i k ɔ ˈ v ã ɲ ɛ
niemy,ˈ ɲ ɛ̃ m ɨ
niemądry,ɲ ɛ̃ ˈ m ɔ̃ n d r ɨ
niemęczenie,ˌ ɲ ɛ̃ m ɛ̃ n͇ ˈ t ʃ̑ ɛ̃ ɲ ɛ
nienacjonalizowanie,ˌ ɲ ɛ̃ n a t s̑ʲ j ɔ̃ n a lʲ i z ɔ ˈ v ã ɲ ɛ
nienadeptywanie,ˌ ɲ ɛ̃ n a d ɛ p t ɨ ˈ v ã ɲ ɛ
nienadmienianie,ˌ ɲ ɛ̃ n a d mʲ j ɛ̇̃ ˈ ɲ ä̃ ɲ ɛ
nienadwyrężanie,ˌ ɲ ɛ̃ n a d v ɨ r ɛ̃ w̃ ˈ ʒ ã ɲ ɛ
nienadwyrężenie,ˌ ɲ ɛ̃ n a d v ɨ r ɛ̃ w̃ ˈ ʒ ɛ̃ ɲ ɛ
nienaelektryzowanie,ˌ ɲ ɛ̃ n a ɛ l ɛ k t r ɨ z ɔ ˈ v ã ɲ ɛ
nienagannie,ˌ ɲ ɛ̃ n a ˈ ɡ ã ɲː ɛ
nienagranie,ˌ ɲ ɛ̃ n a ˈ ɡ r ã ɲ ɛ
nienakreślanie,ˌ ɲ ɛ̃ n a k r ɛ ɕ ˈ l ã ɲ ɛ
nienakreślenie,ˌ ɲ ɛ̃ n a k r ɛ ɕ ˈ l ɛ̃ ɲ ɛ
nienakręcanie,ˌ ɲ ɛ̃ n a k r ɛ̃ n ˈ t s̑ ã ɲ ɛ
nienakręcenie,ˌ ɲ ɛ̃ n a k r ɛ̃ n ˈ t s̑ ɛ̃ ɲ ɛ
nienakładanie,ˌ ɲ ɛ̃ n a k w a ˈ d ã ɲ ɛ
nienakłanianie,ˌ ɲ ɛ̃ n a k w ã ˈ ɲ ä̃ ɲ ɛ
nienakłonienie,ˌ ɲ ɛ̃ n a k w ɔ̃ ˈ ɲ ɛ̇̃ ɲ ɛ
nienaleganie,ˌ ɲ ɛ̃ n a l ɛ ˈ ɡ ã ɲ ɛ
nienależny,ˌ ɲ ɛ̃ n a ˈ l ɛ ʒ n ɨ
nienaliczanie,ˌ ɲ ɛ̃ n a lʲ i ˈ t ʃ̑ ã ɲ ɛ
nienaliczenie,ˌ ɲ ɛ̃ n a lʲ i ˈ t ʃ̑ ɛ̃ ɲ ɛ
nienamalowanie,ˌ ɲ ɛ̃ n ã m a l ɔ ˈ v ã ɲ ɛ
nienamawianie,ˌ ɲ ɛ̃ n ã m a ˈ vʲ j ä̃ ɲ ɛ
nienamierzanie,ˌ ɲ ɛ̃ n ã mʲ j ɛ ˈ ʒ ã ɲ ɛ
nienamierzenie,ˌ ɲ ɛ̃ n ã mʲ j ɛ ˈ ʒ ɛ̃ ɲ ɛ
nienamówienie,ˌ ɲ ɛ̃ n ã m u ˈ vʲ j ɛ̇̃ ɲ ɛ
nienanizanie,ˌ ɲ ɛ̃ n ã ɲ i ˈ z ã ɲ ɛ
nienaoliwianie,ˌ ɲ ɛ̃ n a ɔ lʲ i ˈ vʲ j ä̃ ɲ ɛ
nienaoliwienie,ˌ ɲ ɛ̃ n a ɔ lʲ i ˈ vʲ j ɛ̇̃ ɲ ɛ
nienapierdalanie,ˌ ɲ ɛ̃ n a pʲ j ɛ r d a ˈ l ã ɲ ɛ
nienapisanie,ˌ ɲ ɛ̃ n a pʲ i ˈ s ã ɲ ɛ
nienapotkanie,ˌ ɲ ɛ̃ n a p ɔ t ˈ k ã ɲ ɛ
nienapotykanie,ˌ ɲ ɛ̃ n a p ɔ t ɨ ˈ k ã ɲ ɛ
nienaprawianie,ˌ ɲ ɛ̃ n a p r a ˈ vʲ j ä̃ ɲ ɛ
nienaprawienie,ˌ ɲ ɛ̃ n a p r a ˈ vʲ j ɛ̇̃ ɲ ɛ
nienaprowadzanie,ˌ ɲ ɛ̃ n a p r ɔ v a ˈ d z̑ ã ɲ ɛ
nienaprowadzenie,ˌ ɲ ɛ̃ n a p r ɔ v a ˈ d z̑ ɛ̃ ɲ ɛ
nienapędzanie,ˌ ɲ ɛ̃ n a p ɛ̃ n ˈ d z̑ ã ɲ ɛ
nienapędzenie,ˌ ɲ ɛ̃ n a p ɛ̃ n ˈ d z̑ ɛ̃ ɲ ɛ
nienareperowanie,ˌ ɲ ɛ̃ n a r ɛ p ɛ r ɔ ˈ v ã ɲ ɛ
nienarodzony,ˌ ɲ ɛ̃ n a r ɔ ˈ d z̑ ɔ̃ n ɨ
nienarzekanie,ˌ ɲ ɛ̃ n a ʒ ɛ ˈ k ã ɲ ɛ
nienarzucanie,ˌ ɲ ɛ̃ n a ʒ u ˈ t s̑ ã ɲ ɛ
nienarzucenie,ˌ ɲ ɛ̃ n a ʒ u ˈ t s̑ ɛ̃ ɲ ɛ
nienastępowanie,ˌ ɲ ɛ̃ n a s t ɛ̃ m p ɔ ˈ v ã ɲ ɛ
nienasycanie,ˌ ɲ ɛ̃ n a s ɨ ˈ t s̑ ã ɲ ɛ
nienaturalny,ˌ ɲ ɛ̃ n a t u ˈ r a l n ɨ
nienatłuszczanie,ˌ ɲ ɛ̃ n a t w u ʃ ˈ t ʃ̑ ã ɲ ɛ
nienatłuszczenie,ˌ ɲ ɛ̃ n a t w u ʃ ˈ t ʃ̑ ɛ̃ ɲ ɛ
nienauczanie,ˌ ɲ ɛ̃ n a s u p w s u p u ˈ t ʃ̑ ã ɲ ɛ
nienauczenie,ˌ ɲ ɛ̃ n a s u p w s u p u ˈ t ʃ̑ ɛ̃ ɲ ɛ
nienawidzenie,ˌ ɲ ɛ̃ n a vʲ i ˈ d z̑ ɛ̃ ɲ ɛ
nienawidzić,ˌ ɲ ɛ̃ n a ˈ vʲ i ʥ̑ i ʨ̑
nienawistnie,ˌ ɲ ɛ̃ n a ˈ vʲ i s tʲ ɲ ɛ
nienawiść,ɲ ɛ̃ ˈ n a vʲ i ɕ ʨ̑
nienawtykanie,ˌ ɲ ɛ̃ n a f t ɨ ˈ k ã ɲ ɛ
nienazwanie,ˌ ɲ ɛ̃ n a ˈ z v ã ɲ ɛ
nienazywanie,ˌ ɲ ɛ̃ n a z ɨ ˈ v ã ɲ ɛ
nienaładowanie,ˌ ɲ ɛ̃ n a w a d ɔ ˈ v ã ɲ ɛ
nienałożenie,ˌ ɲ ɛ̃ n a w ɔ ˈ ʒ ɛ̃ ɲ ɛ
nienaświetlanie,ˌ ɲ ɛ̃ n a ɕ fʲ j ɛ ˈ t l ã ɲ ɛ
nienegowanie,ˌ ɲ ɛ̃ n ɛ ɡ ɔ ˈ v ã ɲ ɛ
nieniemienie,ˌ ɲ ɛ̇̃ ɲ ɛ̃ ˈ mʲ j ɛ̇̃ ɲ ɛ
nienienawidzenie,ˌ ɲ ɛ̇̃ ɲ ɛ̃ n a vʲ i ˈ d z̑ ɛ̃ ɲ ɛ
nieniszczenie,ˌ ɲ ɛ̇̃ ɲ i ʃ ˈ t ʃ̑ ɛ̃ ɲ ɛ
nieniuansowanie,ˌ ɲ ɛ̇̃ ɲ u s u p w s u p ã w̃ s ɔ ˈ v ã ɲ ɛ
nienominowanie,ˌ ɲ ɛ̃ n ɔ̃ mʲ ĩ n ɔ ˈ v ã ɲ ɛ
nienormalnie,ˌ ɲ ɛ̃ n ɔ r ˈ m a lʲ ɲ ɛ
nienormalny,ɲ ɛ n ɔ r ˈ m a l n ɨ
nienoszenie,ˌ ɲ ɛ̃ n ɔ ˈ ʃ ɛ̃ ɲ ɛ
nienotowanie,ˌ ɲ ɛ̃ n ɔ t ɔ ˈ v ã ɲ ɛ
nienudzenie,ˌ ɲ ɛ̃ n u ˈ d z̑ ɛ̃ ɲ ɛ
nienumerowanie,ˌ ɲ ɛ̃ n ũ m ɛ r ɔ ˈ v ã ɲ ɛ
nienurkowanie,ˌ ɲ ɛ̃ n u r k ɔ ˈ v ã ɲ ɛ
nienękanie,ˌ ɲ ɛ̃ n ɛ̃ ŋ ˈ k ã ɲ ɛ
nieobalanie,ˌ ɲ ɛ ɔ b a ˈ l ã ɲ ɛ
nieobchodzenie,ˌ ɲ ɛ ɔ p x ɔ ˈ d z̑ ɛ̃ ɲ ɛ
nieobdalno,ˌ ɲ ɛ ɔ b ˈ d a l n ɔ
nieobdarowanie,ˌ ɲ ɛ ɔ b d a r ɔ ˈ v ã ɲ ɛ
nieobdarowywanie,ˌ ɲ ɛ ɔ b d a r ɔ v ɨ ˈ v ã ɲ ɛ
nieobecność,ˌ ɲ ɛ ɔ ˈ b ɛ t s̑ n ɔ ɕ ʨ̑
nieobecny,ˌ ɲ ɛ ɔ ˈ b ɛ t s̑ n ɨ
nieobejmowanie,ˌ ɲ ɛ ɔ b ɛ j m ɔ ˈ v ã ɲ ɛ
nieobgryzanie,ˌ ɲ ɛ ɔ b ɡ r ɨ ˈ z ã ɲ ɛ
nieobiecanie,ˌ ɲ ɛ ɔ bʲ j ɛ ˈ t s̑ ã ɲ ɛ
nieobiecywanie,ˌ ɲ ɛ ɔ bʲ j ɛ t s̑ ɨ ˈ v ã ɲ ɛ
nieobjawianie,ˌ ɲ ɛ ɔ bʲ j a ˈ vʲ j ä̃ ɲ ɛ
nieobjaśnianie,ˌ ɲ ɛ ɔ bʲ j ä ɕ ˈ ɲ ä̃ ɲ ɛ
nieobliczanie,ˌ ɲ ɛ ɔ b lʲ i ˈ t ʃ̑ ã ɲ ɛ
nieobmawianie,ˌ ɲ ɛ ɔ b m a ˈ vʲ j ä̃ ɲ ɛ
nieobowiązywanie,ˌ ɲ ɛ ɔ b ɔ vʲ j ɔ̃ w̃ z ɨ ˈ v ã ɲ ɛ
nieobrabianie,ˌ ɲ ɛ ɔ b r a ˈ bʲ j ä̃ ɲ ɛ
nieobrabowanie,ˌ ɲ ɛ ɔ b r a b ɔ ˈ v ã ɲ ɛ
nieobrabowywanie,ˌ ɲ ɛ ɔ b r a b ɔ v ɨ ˈ v ã ɲ ɛ
nieobracanie,ˌ ɲ ɛ ɔ b r a ˈ t s̑ ã ɲ ɛ
nieobrażanie,ˌ ɲ ɛ ɔ b r a ˈ ʒ ã ɲ ɛ
nieobrażenie,ˌ ɲ ɛ ɔ b r a ˈ ʒ ɛ̃ ɲ ɛ
nieobrobienie,ˌ ɲ ɛ ɔ b r ɔ ˈ bʲ j ɛ̇̃ ɲ ɛ
nieobrócenie,ˌ ɲ ɛ ɔ b r u ˈ t s̑ ɛ̃ ɲ ɛ
nieobwinianie,ˌ ɲ ɛ ɔ b vʲ ĩ ˈ ɲ ä̃ ɲ ɛ
nieobwinienie,ˌ ɲ ɛ ɔ b vʲ ĩ ˈ ɲ ɛ̇̃ ɲ ɛ
nieoczekiwanie,ˌ ɲ ɛ ɔ t ʃ̑ ɛ c i ˈ v ã ɲ ɛ
nieoczekiwany,ˌ ɲ ɛ ɔ t ʃ̑ ɛ c i ˈ v ã n ɨ
nieoczyszczanie,ˌ ɲ ɛ ɔ t ʃ̑ ɨ ʃ ˈ t ʃ̑ ã ɲ ɛ
nieodbieranie,ˌ ɲ ɛ ɔ d bʲ j ɛ ˈ r ã ɲ ɛ
nieodbycie,ˌ ɲ ɛ ɔ d ˈ b ɨ ʨ̑ ɛ
nieodbywanie,ˌ ɲ ɛ ɔ d b ɨ ˈ v ã ɲ ɛ
nieodczuwanie,ˌ ɲ ɛ ɔ ṭ t ʃ̑ u ˈ v ã ɲ ɛ
nieodczytanie,ˌ ɲ ɛ ɔ ṭ t ʃ̑ ɨ ˈ t ã ɲ ɛ
nieodczytywanie,ˌ ɲ ɛ ɔ ṭ t ʃ̑ ɨ t ɨ ˈ v ã ɲ ɛ
nieoddziaływanie,ˌ ɲ ɛ ɔ dʲ ʥ̑ a w ɨ ˈ v ã ɲ ɛ
nieodebranie,ˌ ɲ ɛ ɔ d ɛ ˈ b r ã ɲ ɛ
nieodejmowanie,ˌ ɲ ɛ ɔ d ɛ j m ɔ ˈ v ã ɲ ɛ
nieodgwizdanie,ˌ ɲ ɛ ɔ d ɡ vʲ i z ˈ d ã ɲ ɛ
nieodkrywanie,ˌ ɲ ɛ ɔ t k r ɨ ˈ v ã ɲ ɛ
nieodliczanie,ˌ ɲ ɛ ɔ d lʲ i ˈ t ʃ̑ ã ɲ ɛ
nieodliczenie,ˌ ɲ ɛ ɔ d lʲ i ˈ t ʃ̑ ɛ̃ ɲ ɛ
nieodmienienie,ˌ ɲ ɛ ɔ d mʲ j ɛ̇̃ ˈ ɲ ɛ̇̃ ɲ ɛ
nieodmienny,ˌ ɲ ɛ ɔ d ˈ mʲ j ɛ̃ nː ɨ
nieodmierzanie,ˌ ɲ ɛ ɔ d mʲ j ɛ ˈ ʒ ã ɲ ɛ
nieodmierzenie,ˌ ɲ ɛ ɔ d mʲ j ɛ ˈ ʒ ɛ̃ ɲ ɛ
nieodpierdalanie,ˌ ɲ ɛ ɔ t pʲ j ɛ r d a ˈ l ã ɲ ɛ
nieodpoczywanie,ˌ ɲ ɛ ɔ t p ɔ t ʃ̑ ɨ ˈ v ã ɲ ɛ
nieodpowiadanie,ˌ ɲ ɛ ɔ t p ɔ vʲ j a ˈ d ã ɲ ɛ
nieodpowiedni,ˌ ɲ ɛ ɔ t p ɔ ˈ vʲ j ɛ dʲ ɲ i
nieodpowiednio,ˌ ɲ ɛ ɔ t p ɔ ˈ vʲ j ɛ dʲ ɲ ɔ
nieodpowiedzenie,ˌ ɲ ɛ ɔ t p ɔ vʲ j ɛ ˈ d z̑ ɛ̃ ɲ ɛ
nieodpowiedzialny,ˌ ɲ ɛ ɔ t p ɔ vʲ j ɛ̇ ˈ ʥ̑ a l n ɨ
nieodpłacanie,ˌ ɲ ɛ ɔ t p w a ˈ t s̑ ã ɲ ɛ
nieodpłacenie,ˌ ɲ ɛ ɔ t p w a ˈ t s̑ ɛ̃ ɲ ɛ
nieodrodzenie,ˌ ɲ ɛ ɔ d r ɔ ˈ d z̑ ɛ̃ ɲ ɛ
nieodrywanie,ˌ ɲ ɛ ɔ d r ɨ ˈ v ã ɲ ɛ
nieodszumianie,ˌ ɲ ɛ ɔ ṭ ʃ ũ ˈ mʲ j ä̃ ɲ ɛ
nieodwracanie,ˌ ɲ ɛ ɔ d v r a ˈ t s̑ ã ɲ ɛ
nieodzowny,ˌ ɲ ɛ ɔ d ˈ z ɔ v n ɨ
nieodzyskanie,ˌ ɲ ɛ ɔ d z ɨ ˈ s k ã ɲ ɛ
nieodzyskiwanie,ˌ ɲ ɛ ɔ d z ɨ sʲ c i ˈ v ã ɲ ɛ
nieodśnieżanie,ˌ ɲ ɛ ɔ tʲ ɕ ɲ ɛ ˈ ʒ ã ɲ ɛ
nieodśnieżenie,ˌ ɲ ɛ ɔ tʲ ɕ ɲ ɛ ˈ ʒ ɛ̃ ɲ ɛ
nieodświeżanie,ˌ ɲ ɛ ɔ tʲ ɕ fʲ j ɛ ˈ ʒ ã ɲ ɛ
nieodświeżenie,ˌ ɲ ɛ ɔ tʲ ɕ fʲ j ɛ ˈ ʒ ɛ̃ ɲ ɛ
nieofiarowanie,ˌ ɲ ɛ ɔ fʲ j a r ɔ ˈ v ã ɲ ɛ
nieofiarowywanie,ˌ ɲ ɛ ɔ fʲ j a r ɔ v ɨ ˈ v ã ɲ ɛ
nieoficjalnie,ˌ ɲ ɛ ɔ fʲ i ˈ t s̑ʲ j a lʲ ɲ ɛ
nieogar,ɲ ɛ ˈ ɔ ɡ a r
nieoglądanie,ˌ ɲ ɛ ɔ ɡ l ɔ̃ n ˈ d ã ɲ ɛ
nieograniczony,ˌ ɲ ɛ ɔ ɡ r ã ɲ i ˈ t ʃ̑ ɔ̃ n ɨ
nieogrzanie,ˌ ɲ ɛ ɔ ˈ ɡ ʒ ã ɲ ɛ
nieogrzewanie,ˌ ɲ ɛ ɔ ɡ ʒ ɛ ˈ v ã ɲ ɛ
nieogłupianie,ˌ ɲ ɛ ɔ ɡ w u ˈ pʲ j ä̃ ɲ ɛ
nieokazywanie,ˌ ɲ ɛ ɔ k a z ɨ ˈ v ã ɲ ɛ
nieokreślanie,ˌ ɲ ɛ ɔ k r ɛ ɕ ˈ l ã ɲ ɛ
nieokreślony,ˌ ɲ ɛ ɔ k r ɛ ɕ ˈ l ɔ̃ n ɨ
nieokrzesany,ˌ ɲ ɛ ɔ k ʃ ɛ ˈ s ã n ɨ
nieoliwienie,ˌ ɲ ɛ ɔ lʲ i ˈ vʲ j ɛ̇̃ ɲ ɛ
nieomdlenie,ˌ ɲ ɛ ɔ̃ ˈ m d l ɛ̃ ɲ ɛ
nieomijanie,ˌ ɲ ɛ ɔ̃ mʲ i ˈ j ä̃ ɲ ɛ
