aah,ˈ ɑː
horrifying,h ˈ ɒ ɹ ɪ f ˌ aɪ ɪ ŋ
horrifyingly,h ˈ ɒ ɹ ɪ f ˌ aɪ ɪ ŋ l i
horror,h ˈ ɒ ɹ ɐ
horrors,h ˈ ɒ ɹ ə z
horseback,h ˈ ɔː s b æ k
horseboxes,h ˈ ɔː s b ɒ k s ɪ z
horsebox,h ˈ ɔː s b ɒ k s
horsed,h ˈ ɔː s d
horseflesh,h ˈ ɔː s f l ɛ ʃ
horseflies,h ˈ ɔː s f l aɪ z
horsefly,h ˈ ɔː s f l aɪ
horsehair,h ˈ ɔː s h eə
horsehide,h ˈ ɔː s h aɪ d
horse,h ˈ ɔː s
horseless,h ˈ ɔː s l ə s
horseman,h ˈ ɔː s m ə n
horsemanship,h ˈ ɔː s m ə n ʃ ˌ ɪ p
horsemen,h ˈ ɔː s m ɛ n
horseplay,h ˈ ɔː s p l eɪ
horsepower,h ˈ ɔː s p aʊ ɐ
horseracing,h ˈ ɔː s ɹ eɪ s ɪ ŋ
horseradishes,h ˈ ɔː s ɹ ɐ d ˌ ɪ ʃ ɪ z
horseradish,h ˈ ɔː s ɹ ɐ d ˌ ɪ ʃ
horseshit,h ˈ ɔː s ʃ ɪ t
horseshoe,h ˈ ɔː s ʃ uː
horseshoes,h ˈ ɔː s ʃ uː z
horses,h ˈ ɔː s ɪ z
horsetail,h ˈ ɔː s t eɪ l
horsetails,h ˈ ɔː s t eɪ l z
horsewhip,h ˈ ɔː s w ɪ p
horsewhipped,h ˈ ɔː s w ɪ p t
horsewhipping,h ˈ ɔː s w ɪ p ɪ ŋ
horsewoman,h ˈ ɔː s w ʊ m ə n
horsey,h ˈ ɔː s i
horsiness,h ˈ ɔː s ɪ n ə s
horsing,h ˈ ɔː s ɪ ŋ
horst,h ˈ ɔː s t
horsy,h ˈ ɔː s i
horticultural,h ˌ ɔː t ɪ k ˈ ʌ l t ʃ ə ɹ ə l
horticulturalist,h ˈ ɔː t ɪ k ˌ ʌ l t ʃ ə ɹ ə l ˌ ɪ s t
horticulturalists,h ˈ ɔː t ɪ k ˌ ʌ l t ʃ ə ɹ ə l ˌ ɪ s t s
horticulturally,h ˌ ɔː t ɪ k ˈ ʌ l t ʃ ə ɹ ə l i
horticulture,h ˈ ɔː t ɪ k ˌ ʌ l t ʃ ɐ
horticulturist,h ˈ ɔː t ɪ k ˌ ʌ l t ʃ ə ɹ ˌ ɪ s t
horticulturists,h ˈ ɔː t ɪ k ˌ ʌ l t ʃ ə ɹ ˌ ɪ s t s
hosanna,h ə s ˈ æ n ɐ
hosannas,h ə s ˈ æ n ə z
hosed,h ˈ əʊ z d
hose,h ˈ əʊ z
hosepipe,h ˈ əʊ s p aɪ p
hosepipes,h ˈ əʊ s p aɪ p s
hoses,h ˈ əʊ z ɪ z
hos,h ˈ əʊ z
hosier,h ˈ əʊ z ɪ ɐ
hosiery,h ˈ əʊ s ɪə ɹ i
hosing,h ˈ əʊ z ɪ ŋ
hospice,h ˈ ɒ s p ɪ s
hospices,h ˈ ɒ s p ɪ s ɪ z
hospitable,h ɒ s p ˈ ɪ t ə b ə l
hospital,h ˈ ɒ s p ɪ t ə l
hospitalisation,h ˌ ɒ s p ɪ t ə l aɪ z ˈ eɪ ʃ ə n
hospitalised,h ˈ ɒ s p ɪ t ə l ˌ aɪ z d
hospitalise,h ˈ ɒ s p ɪ t ə l ˌ aɪ z
hospitalises,h ˈ ɒ s p ɪ t ə l ˌ aɪ z ɪ z
hospitalising,h ˈ ɒ s p ɪ t ə l ˌ aɪ z ɪ ŋ
hospitality,h ˌ ɒ s p ɪ t ˈ æ l ɪ t i
hospitals,h ˈ ɒ s p ɪ t ə l z
hostage,h ˈ ɒ s t ɪ d ʒ
hostages,h ˈ ɒ s t ɪ d ʒ ɪ z
hosta,h ˈ ɒ s t ɐ
hosted,h ˈ əʊ s t ɪ d
hostel,h ˈ ɒ s t ə l
hostelling,h ˈ ɒ s t ə l ɪ ŋ
hostelries,h ˈ ɒ s t ə l ɹ ɪ z
hostelry,h ˈ ɒ s t ə l ɹ i
hostels,h ˈ ɒ s t ə l z
hostesses,h ˈ əʊ s t ɛ s ɪ z
hostess,h ˈ əʊ s t ɛ s
hostessing,h ˈ əʊ s t ɛ s ɪ ŋ
host,h ˈ əʊ s t
hostile,h ˈ ɒ s t aɪ l
hostiles,h ˈ ɒ s t aɪ l z
hostilities,h ə s t ˈ ɪ l ɪ t i z
hostility,h ə s t ˈ ɪ l ɪ t i
hosting,h ˈ əʊ s t ɪ ŋ
hosts,h ˈ əʊ s t s
hotbed,h ˈ ɒ t b ɛ d
hotbeds,h ˈ ɒ t b ɛ d z
hotcakes,h ˈ ɒ t k eɪ k s
hotdog,h ˈ ɒ t d ɒ ɡ
hotdogs,h ˈ ɒ t d ɒ ɡ z
hotel,h əʊ t ˈ ɛ l
hotelier,h əʊ t ˈ ɛ l i ɐ
hoteliers,h əʊ t ˈ ɛ l i ə z
hotels,h əʊ t ˈ ɛ l z
hotfooted,h ˈ ɒ t f ʊ t ɪ d
hotfoot,h ˈ ɒ t f ʊ t
hotfooting,h ˈ ɒ t f ʊ t ɪ ŋ
hotfoots,h ˈ ɒ t f ʊ t s
hothead,h ˈ ɒ t h ɛ d
hotheads,h ˈ ɒ t h ɛ d z
hothouse,h ˈ ɒ t h aʊ s
hothouses,h ˈ ɒ t h aʊ s ɪ z
hot,h ˈ ɒ t
hotline,h ˈ ɒ t l aɪ n
hotlines,h ˈ ɒ t l aɪ n z
hotly,h ˈ ɒ t l i
hotness,h ˈ ɒ t n ə s
hotplate,h ˈ ɒ t p l eɪ t
hotplates,h ˈ ɒ t p l eɪ t s
hotpot,h ˈ ɒ t p ɒ t
hotpots,h ˈ ɒ t p ɒ t s
hotshot,h ˈ ɒ t ʃ ɒ t
hotshots,h ˈ ɒ t ʃ ɒ t s
hots,h ˈ ɒ t s
hotspot,h ˈ ɒ t s p ɒ t
hotspots,h ˈ ɒ t s p ɒ t s
hotspur,h ˈ ɒ t s p ɔː
hotted,h ˈ ɒ t ɪ d
hotter,h ˈ ɒ t ɐ
hottest,h ˈ ɒ t ə s t
hotting,h ˈ ɒ t ɪ ŋ
hough,h ˈ əʊ
houmous,h j ˈ uː m ə s
hounded,h ˈ aʊ n d ɪ d
hound,h ˈ aʊ n d
hounding,h ˈ aʊ n d ɪ ŋ
hounds,h ˈ aʊ n d z
hour,ˈ aʊ ə
hourglass,ˈ aʊ ə ɡ l ɑː s
hourly,ˈ aʊ ə l i
hours,ˈ aʊ ə z
houseboat,h ˈ aʊ s b əʊ t
houseboats,h ˈ aʊ s b əʊ t s
housebound,h ˈ aʊ s b aʊ n d
houseboy,h ˈ aʊ s b ɔɪ
housebreaker,h ˈ aʊ s b ɹ eɪ k ɐ
housebreakers,h ˈ aʊ s b ɹ eɪ k ə z
housebreak,h ˈ aʊ s b ɹ eɪ k
housebreaking,h ˈ aʊ s b ɹ eɪ k ɪ ŋ
housebroken,h ˈ aʊ s b ɹ əʊ k ə n
housecleaning,h ˈ aʊ s k l iː n ɪ ŋ
housecoat,h ˈ aʊ s k əʊ t
housed,h ˈ aʊ z d
housefly,h ˈ aʊ s f l aɪ
houseful,h ˈ aʊ s f ə l
householder,h ˈ aʊ s h əʊ l d ɐ
householders,h ˈ aʊ s h əʊ l d ə z
household,h ˈ aʊ s h əʊ l d
households,h ˈ aʊ s h əʊ l d z
househusband,h ˈ aʊ s h ʌ s b ə n d
househusbands,h ˈ aʊ s h ʌ s b ə n d z
housekeeper,h ˈ aʊ s k iː p ɐ
housekeepers,h ˈ aʊ s k iː p ə z
housekeeping,h ˈ aʊ s k iː p ɪ ŋ
houseleek,h ˈ aʊ s l iː k
houseless,h ˈ aʊ s l ə s
housemaid,h ˈ aʊ s m eɪ d
housemaids,h ˈ aʊ s m eɪ d z
houseman,h ˈ aʊ s m ə n
housemaster,h ˈ aʊ s m ɑː s t ɐ
housemate,h ˈ aʊ s m eɪ t
housemates,h ˈ aʊ s m eɪ t s
housemen,h ˈ aʊ s m ɛ n
houseplant,h ˈ aʊ s p l æ n t
houseplants,h ˈ aʊ s p l æ n t s
houseproud,h ˈ aʊ s p ɹ aʊ d
houseroom,h ˈ aʊ s ɹ uː m
houses,h ˈ aʊ z ɪ z
housetops,h ˈ aʊ s t ɒ p s
housewares,h ˈ aʊ s w eə z
housewarming,h ˈ aʊ s w ɔː m ɪ ŋ
housewifely,h ˈ aʊ s w aɪ f l i
housewifery,h ˈ aʊ s w ɪ f ə ɹ i
housewives,h ˈ aʊ s w aɪ v z
housework,h ˈ aʊ s w ɜː k
housing,h ˈ aʊ z ɪ ŋ
housings,h ˈ aʊ z ɪ ŋ z
hove,h ˈ əʊ v
hovel,h ˈ ɒ v ə l
hovels,h ˈ ɒ v ə l z
hovercraft,h ˈ ɒ v ə k ɹ ˌ ɑː f t
hovercrafts,h ˈ ɒ v ə k ɹ ˌ ɑː f t s
hovered,h ˈ ɒ v ə d
hoverer,h ˈ ɒ v ə ɹ ɐ
hover,h ˈ ɒ v ɐ
hovering,h ˈ ɒ v ə ɹ ɪ ŋ
hovers,h ˈ ɒ v ə z
howdah,h ˈ aʊ d ɐ
howdahs,h ˈ aʊ d ə z
howdy,h ˈ aʊ d i
howe'er,h ˈ aʊ eə
however,h aʊ ˈ ɛ v ɐ
how,h ˈ aʊ
howitzer,h ˈ aʊ ɪ t s ɐ
howitzers,h ˈ aʊ ɪ t s ə z
howled,h ˈ aʊ l d
howler,h ˈ aʊ l ɐ
howlers,h ˈ aʊ l ə z
howl,h ˈ aʊ l
howling,h ˈ aʊ l ɪ ŋ
howls,h ˈ aʊ l z
hows,h ˈ aʊ z
howsoever,h aʊ s ˌ əʊ ˈ ɛ v ɐ
hoyden,h ˈ ɔɪ d ə n
hoy,h ˈ ɔɪ
huarache,h j ˈ uː ɐ ɹ ˌ eɪ k
hubbies,h ˈ ʌ b ɪ z
hubbub,h ˈ ʌ b ʌ b
hubby,h ˈ ʌ b i
hubcap,h ˈ ʌ b k æ p
hubcaps,h ˈ ʌ b k æ p s
hub,h ˈ ʌ b
hubris,h ˈ uː b ɹ ɪ s
hubristic,h ʌ b ɹ ˈ ɪ s t ɪ k
hubs,h ˈ ʌ b z
huckleberries,h ˈ ʌ k l ɪ b ə ɹ ɪ z
huckleberry,h ˈ ʌ k l ɪ b ə ɹ i
huckster,h ˈ ʌ k s t ɐ
hucksters,h ˈ ʌ k s t ə z
huddled,h ˈ ʌ d ə l d
huddle,h ˈ ʌ d ə l
huddles,h ˈ ʌ d ə l z
huddling,h ˈ ʌ d l ɪ ŋ
hued,h j ˈ uː d
hues,h j ˈ uː z
huffed,h ˈ ʌ f t
huff,h ˈ ʌ f
huffing,h ˈ ʌ f ɪ ŋ
huffs,h ˈ ʌ f s
huffy,h ˈ ʌ f i
huge,h j ˈ uː d ʒ
hugely,h j ˈ uː d ʒ l i
hugeness,h j ˈ uː d ʒ n ə s
huger,h ˈ uː ɡ ɐ
hugest,h j ˈ uː d ʒ ə s t
hugged,h ˈ ʌ ɡ d
hugger,h ˈ ʌ ɡ ɐ
hugging,h ˈ ʌ ɡ ɪ ŋ
hug,h ˈ ʌ ɡ
hugs,h ˈ ʌ ɡ z
huh,h ˈ ʌ
hula,h ˈ uː l ɐ
hulas,h ˈ uː l ə z
hulk,h ˈ ʌ l k
hulking,h ˈ ʌ l k ɪ ŋ
hulks,h ˈ ʌ l k s
hulky,h ˈ ʌ l k i
hullaballoo,h ˈ ʌ l ɐ b ˌ æ l uː
hullabaloo,h ˈ ʌ l ɐ b ˌ æ l uː
hullabaloos,h ˈ ʌ l ɐ b ˌ æ l uː z
hulled,h ˈ ʌ l d
huller,h ˈ ʌ l ɐ
hull,h ˈ ʌ l
hulling,h ˈ ʌ l ɪ ŋ
hulls,h ˈ ʌ l z
humane,h j uː m ˈ eɪ n
humanely,h j uː m ˈ eɪ n l i
human,h j ˈ uː m ə n
humanisation,h j ˌ uː m ɐ n aɪ z ˈ eɪ ʃ ə n
humanised,h j ˈ uː m ɐ n ˌ aɪ z d
humanise,h j ˈ uː m ɐ n ˌ aɪ z
humanises,h j ˈ uː m ɐ n ˌ aɪ z ɪ z
humanising,h j ˈ uː m ɐ n ˌ aɪ z ɪ ŋ
humanism,h j ˈ uː m ə n ˌ ɪ z ə m
humanist,h j ˈ uː m ɐ n ˌ ɪ s t
humanistic,h j ˌ uː m ɐ n ˈ ɪ s t ɪ k
humanists,h j ˈ uː m ɐ n ˌ ɪ s t s
humanitarian,h j ˌ uː m ɐ n ɪ t ˈ eə ɹ i ə n
humanitarianism,h j ˌ uː m ɐ n ɪ t ˈ eə ɹ i ə n ˌ ɪ z ə m
humanitarians,h j ˌ uː m ɐ n ɪ t ˈ eə ɹ i ə n z
humanities,h j uː m ˈ æ n ɪ t i z
humanity,h j uː m ˈ æ n ɪ t i
humankind,h j ˈ uː m ɐ ŋ k ˌ aɪ n d
humanly,h j ˈ uː m ə n l i
humanness,h j ˈ uː m ə n n ə s
humanoid,h j ˈ uː m ɐ n ˌ ɔɪ d
humanoids,h j ˈ uː m ɐ n ˌ ɔɪ d z
humans,h j ˈ uː m ə n z
humbled,h ˈ ʌ m b ə l d
humble,h ˈ ʌ m b ə l
humbleness,h ˈ ʌ m b ə l n ə s
humbler,h ˈ ʌ m b l ɐ
humbles,h ˈ ʌ m b ə l z
humblest,h ˈ ʌ m b l ə s t
humbling,h ˈ ʌ m b l ɪ ŋ
humbly,h ˈ ʌ m b l i
humbuggery,h ˈ ʌ m b ə ɡ ə ɹ i
humbug,h ˈ ʌ m b ʌ ɡ
humbugs,h ˈ ʌ m b ʌ ɡ z
humdinger,h ˈ ʌ m d ɪ ŋ ɡ ɐ
humdingers,h ˈ ʌ m d ɪ ŋ ɡ ə z
humdrum,h ˈ ʌ m d ɹ ə m
humectant,h j ˈ uː m ɛ k t ə n t
humeral,h j ˈ uː m ə ɹ ə l
humerus,h j ˈ uː m ə ɹ ə s
hum,h ˈ ʌ m
humid,h j ˈ uː m ɪ d
humidified,h j uː m ˈ ɪ d ɪ f ˌ aɪ d
humidifier,h j ˈ uː m ɪ d ˌ ɪ f aɪ ə
humidifiers,h j ˈ uː m ɪ d ˌ ɪ f aɪ ə z
humidify,h j uː m ˈ ɪ d ɪ f ˌ aɪ
humidity,h j uː m ˈ ɪ d ɪ t i
humidor,h j ˈ uː m ɪ d ˌ ɔː
humiliated,h j uː m ˈ ɪ l ɪ ˌ eɪ t ɪ d
humiliate,h j uː m ˈ ɪ l ɪ ˌ eɪ t
humiliates,h j uː m ˈ ɪ l ɪ ˌ eɪ t s
humiliating,h j uː m ˈ ɪ l ɪ ˌ eɪ t ɪ ŋ
humiliatingly,h j ˈ uː m ɪ l ˌ ɪ eɪ t ˌ ɪ ŋ l i
humiliation,h j ˌ uː m ɪ l ɪ ˈ eɪ ʃ ə n
humiliations,h j ˌ uː m ɪ l ɪ ˈ eɪ ʃ ə n z
humility,h j uː m ˈ ɪ l ɪ t i
hummable,h ˈ ʌ m ə b ə l
hummed,h ˈ ʌ m d
hummer,h ˈ ʌ m ɐ
hummers,h ˈ ʌ m ə z
hummingbird,h ˈ ʌ m ɪ ŋ b ˌ ɜː d
hummingbirds,h ˈ ʌ m ɪ ŋ b ˌ ɜː d z
humming,h ˈ ʌ m ɪ ŋ
hummock,h ˈ ʌ m ə k
hummus,h ˈ ʌ m ə s
humongous,h j uː m ˈ ɒ ŋ ɡ ə s
humorist,h j ˈ uː m ɔː ɹ ˌ ɪ s t
humorists,h j ˈ uː m ɔː ɹ ˌ ɪ s t s
humorous,h j ˈ uː m ə ɹ ə s
humorously,h j ˈ uː m ə ɹ ə s l i
humoured,h j ˈ uː m ə d
humour,h j ˈ uː m ɐ
humouring,h j ˈ uː m ɜː ɹ ɪ ŋ
humourless,h j ˈ uː m ə l ə s
humours,h j ˈ uː m ə z
humpbacked,h ˈ ʌ m p b æ k t
humpback,h ˈ ʌ m p b æ k
humpbacks,h ˈ ʌ m p b æ k s
humped,h ˈ ʌ m p t
humph,h ˈ ʌ m f
hump,h ˈ ʌ m p
humping,h ˈ ʌ m p ɪ ŋ
humps,h ˈ ʌ m p s
humpy,h ˈ ʌ m p i
hums,h ˈ ʌ m z
humungous,h j uː m ˈ ʌ ŋ ɡ ə s
humus,h j ˈ uː m ə s
hunchbacked,h ˈ ʌ n t ʃ b æ k t
hunchback,h ˈ ʌ n t ʃ b æ k
hunchbacks,h ˈ ʌ n t ʃ b æ k s
hunched,h ˈ ʌ n t ʃ t
hunches,h ˈ ʌ n t ʃ ɪ z
hunch,h ˈ ʌ n t ʃ
hunching,h ˈ ʌ n t ʃ ɪ ŋ
hundredfold,h ˈ ʌ n d ɹ ɪ d f ˌ əʊ l d
hundred,h ˈ ʌ n d ɹ ə d
hundreds,h ˈ ʌ n d ɹ ə d z
hundredth,h ˈ ʌ n d ɹ ə d θ
hundredths,h ˈ ʌ n d ɹ ə d θ s
hundredweight,h ˈ ʌ n d ɹ ɪ d w ˌ eɪ t
hundredweights,h ˈ ʌ n d ɹ ɪ d w ˌ eɪ t s
hungered,h ˈ ʌ ŋ ɡ ə d
hunger,h ˈ ʌ ŋ ɡ ɐ
hungering,h ˈ ʌ ŋ ɡ ə ɹ ɪ ŋ
hungers,h ˈ ʌ ŋ ɡ ə z
hung,h ˈ ʌ ŋ
hungover,h ʌ ŋ ɡ ˈ əʊ v ɐ
hungrier,h ˈ ʌ ŋ ɡ ɹ ɪ ɐ
hungriest,h ˈ ʌ ŋ ɡ ɹ ɪə s t
hungrily,h ˈ ʌ ŋ ɡ ɹ ɪ l i
hungry,h ˈ ʌ ŋ ɡ ɹ i
hun,h ˈ ʌ n
hunkered,h ˈ ʌ ŋ k ə d
hunker,h ˈ ʌ ŋ k ɐ
hunkering,h ˈ ʌ ŋ k ə ɹ ɪ ŋ
hunkers,h ˈ ʌ ŋ k ə z
hunk,h ˈ ʌ ŋ k
hunkier,h ˈ ʌ ŋ k i ɐ
hunkiest,h ˈ ʌ ŋ k i ə s t
hunks,h ˈ ʌ ŋ k s
hunky,h ˈ ʌ ŋ k i
hunted,h ˈ ʌ n t ɪ d
hunter,h ˈ ʌ n t ɐ
hunters,h ˈ ʌ n t ə z
hunt,h ˈ ʌ n t
hunting,h ˈ ʌ n t ɪ ŋ
huntress,h ˈ ʌ n t ɹ ə s
hunts,h ˈ ʌ n t s
huntsman,h ˈ ʌ n t s m ə n
huntsmen,h ˈ ʌ n t s m ɛ n
hurdled,h ˈ ɜː d ə l d
hurdle,h ˈ ɜː d ə l
hurdler,h ˈ ɜː d l ɐ
hurdlers,h ˈ ɜː d l ə z
hurdles,h ˈ ɜː d ə l z
hurdling,h ˈ ɜː d l ɪ ŋ
hurled,h ˈ ɜː l d
hurler,h ˈ ɜː l ɐ
hurlers,h ˈ ɜː l ə z
hurley,h ˈ ɜː l i
hurl,h ˈ ɜː l
hurling,h ˈ ɜː l ɪ ŋ
hurls,h ˈ ɜː l z
hurrah,h ə ɹ ˈ ɑː
hurrahs,h ə ɹ ˈ ɑː z
hurray,h ə ɹ ˈ eɪ
hurricane,h ˈ ʌ ɹ ɪ k ˌ eɪ n
hurricanes,h ˈ ʌ ɹ ɪ k ˌ eɪ n z
hurried,h ˈ ʌ ɹ ɪ d
hurriedly,h ˈ ʌ ɹ ɪ d l i
hurries,h ˈ ʌ ɹ ɪ z
hurry,h ˈ ʌ ɹ i
hurrying,h ˈ ʌ ɹ ɪ ɪ ŋ
hurst,h ˈ ɜː s t
hurter,h ˈ ɜː t ɐ
hurtful,h ˈ ɜː t f ə l
hurt,h ˈ ɜː t
hurting,h ˈ ɜː t ɪ ŋ
hurtled,h ˈ ɜː t ə l d
hurtle,h ˈ ɜː t ə l
hurtles,h ˈ ɜː t ə l z
hurtling,h ˈ ɜː t l ɪ ŋ
hurts,h ˈ ɜː t s
husbanded,h ˈ ʌ s b ə n d ɪ d
husband,h ˈ ʌ s b ə n d
husbanding,h ˈ ʌ s b ə n d ɪ ŋ
husbandman,h ˈ ʌ s b ə n d m ə n
husbandmen,h ˈ ʌ s b ə n d m ˌ ɛ n
husbandry,h ˈ ʌ s b ə n d ɹ i
husbands,h ˈ ʌ s b ə n d z
hushed,h ˈ ʌ ʃ t
hushes,h ˈ ʌ ʃ ɪ z
hush,h ˈ ʌ ʃ
hushing,h ˈ ʌ ʃ ɪ ŋ
husked,h ˈ ʌ s k t
husker,h ˈ ʌ s k ɐ
husk,h ˈ ʌ s k
huskies,h ˈ ʌ s k i z
huskily,h ˈ ʌ s k i l i
husking,h ˈ ʌ s k ɪ ŋ
husks,h ˈ ʌ s k s
husky,h ˈ ʌ s k i
hussar,h ʌ z ˈ ɑː
hussars,h ʌ z ˈ ɑː z
hussies,h ˈ ʌ s ɪ z
hussy,h ˈ ʌ s i
hustings,h ˈ ʌ s t ɪ ŋ z
hustled,h ˈ ʌ s ə l d
hustle,h ˈ ʌ s ə l
hustler,h ˈ ʌ s l ɐ
hustlers,h ˈ ʌ s l ə z
hustles,h ˈ ʌ s ə l z
hustling,h ˈ ʌ s l ɪ ŋ
hutches,h ˈ ʌ t ʃ ɪ z
hutch,h ˈ ʌ t ʃ
hut,h ˈ ʌ t
hutments,h ˈ ʌ t m ə n t s
huts,h ˈ ʌ t s
hutzpah,h ˈ ʌ t s p ɐ
huzza,h ə z ˈ ɑː
huzzah,h ə z ˈ ɑː
hwan,ˈ eɪ t ʃ w ˈ æ n
hyacinth,h ˈ aɪ ɐ s ˌ ɪ n θ
hyacinths,h ˈ aɪ ɐ s ˌ ɪ n θ s
hybrid,h ˈ aɪ b ɹ ɪ d
hybridisation,h ˌ aɪ b ɹ ɪ d aɪ z ˈ eɪ ʃ ə n
hybridised,h ˈ aɪ b ɹ ɪ d ˌ aɪ z d
hybridise,h ˈ aɪ b ɹ ɪ d ˌ aɪ z
hybridising,h ˈ aɪ b ɹ ɪ d ˌ aɪ z ɪ ŋ
hybridity,h aɪ b ɹ ˈ ɪ d ɪ t i
hybrids,h ˈ aɪ b ɹ ɪ d z
hydra,h ˈ aɪ d ɹ ɐ
hydrangea,h aɪ d ɹ ˈ eɪ n d ʒ ɐ
hydrangeas,h aɪ d ɹ ˈ eɪ n d ʒ ə z
hydrant,h ˈ aɪ d ɹ ə n t
hydrants,h ˈ aɪ d ɹ ə n t s
hydrated,h ˈ aɪ d ɹ eɪ t ɪ d
hydrate,h ˈ aɪ d ɹ eɪ t
hydrates,h ˈ aɪ d ɹ eɪ t s
hydrating,h ˈ aɪ d ɹ eɪ t ɪ ŋ
hydration,h aɪ d ɹ ˈ eɪ ʃ ə n
hydraulically,h aɪ d ɹ ˈ ɔː l ɪ k l i
hydraulic,h aɪ d ɹ ˈ ɔː l ɪ k
hydraulics,h aɪ d ɹ ˈ ɔː l ɪ k s
hydride,h ˈ aɪ d ɹ aɪ d
hydrides,h ˈ aɪ d ɹ aɪ d z
hydrocarbon,h ˈ aɪ d ɹ ə k ˌ ɑː b ə n
hydrocarbons,h ˈ aɪ d ɹ ə k ˌ ɑː b ə n z
hydrocephalus,h ˈ aɪ d ɹ əʊ s f ˌ æ l ə s
hydrochloric,h ˌ aɪ d ɹ ə k l ˈ ɔː ɹ ɪ k
hydrochloride,h ˈ aɪ d ɹ ə k l ˌ ɔː ɹ aɪ d
hydrocortisone,h ˈ aɪ d ɹ ə k ˌ ɔː t ɪ s ˌ əʊ n
hydrodynamic,h ˌ aɪ d ɹ ə d aɪ n ˈ æ m ɪ k
hydrodynamics,h ˌ aɪ d ɹ ə d aɪ n ˈ æ m ɪ k s
hydroelectric,h ˌ aɪ d ɹ əʊ l ˈ ɛ k t ɹ ɪ k
hydroelectricity,h ˌ aɪ d ɹ əʊ l ɪ k t ɹ ˈ ɪ s ɪ t i
hydrofluoric,h ˌ aɪ d ɹ ə f l ˈ ɔː ɹ ɪ k
hydrofoil,h ˈ aɪ d ɹ ə f ˌ ɔɪ l
hydrofoils,h ˈ aɪ d ɹ ə f ˌ ɔɪ l z
hydrogenated,h ˈ aɪ d ɹ əʊ d ʒ ə n ˌ eɪ t ɪ d
hydrogen,h ˈ aɪ d ɹ ə d ʒ ə n
hydrographic,h ˌ aɪ d ɹ ə ɡ ɹ ˈ æ f ɪ k
hydro,h ˈ aɪ d ɹ əʊ
hydrological,h ˌ aɪ d ɹ ə l ˈ ɒ d ʒ ɪ k ə l
hydrology,h aɪ d ɹ ˈ ɒ l ə d ʒ i
hydrolysis,h aɪ d ɹ ˈ ɒ l ə s ˌ ɪ s
hydrometer,h aɪ d ɹ ˈ ɒ m ɪ t ɐ
hydropathic,h ˌ aɪ d ɹ ə p ˈ æ θ ɪ k
hydropathy,h aɪ d ɹ ˈ ɒ p ə θ i
hydrophobia,h ˌ aɪ d ɹ ə f ˈ əʊ b i ə
hydrophobic,h ˌ aɪ d ɹ ə f ˈ əʊ b ɪ k
hydrophone,h ˈ aɪ d ɹ ə f ˌ əʊ n
hydrophones,h ˈ aɪ d ɹ ə f ˌ əʊ n z
hydroplane,h ˈ aɪ d ɹ ə p l ˌ eɪ n
hydroplaning,h ˈ aɪ d ɹ ə p l ˌ eɪ n ɪ ŋ
hydroponically,h ˌ aɪ d ɹ ə p ˈ ɒ n ɪ k l i
hydroponic,h ˌ aɪ d ɹ ə p ˈ ɒ n ɪ k
hydroponics,h ˌ aɪ d ɹ ə p ˈ ɒ n ɪ k s
hydropower,h ˈ aɪ d ɹ ə p ˌ aʊ ɐ
hydroquinone,h ˈ aɪ d ɹ ə k w ˌ ɪ n ɒ n
hydrostatic,h ˌ aɪ d ɹ ə s t ˈ æ t ɪ k
hydrotherapy,h ˈ aɪ d ɹ əʊ θ ˌ ɛ ɹ ə p i
hydrothermal,h ˌ aɪ d ɹ ə ð ˈ ɜː m ə l
hydrous,h ˈ aɪ d ɹ ə s
hydroxide,h aɪ d ɹ ˈ ɒ k s aɪ d
hydroxides,h aɪ d ɹ ˈ ɒ k s aɪ d z
hydroxy,h ˈ aɪ d ɹ ɒ k s i
hydroxyl,h ˈ aɪ d ɹ ə k s ˌ ɪ l
hyena,h aɪ ˈ iː n ɐ
hyenas,h aɪ ˈ iː n ə z
hygiene,h ˈ aɪ d ʒ iː n
hygienically,h aɪ d ʒ ˈ iː n ɪ k l i
hygienic,h aɪ d ʒ ˈ iː n ɪ k
hygienist,h ˈ aɪ d ʒ iː n ˌ ɪ s t
hygrometer,h aɪ ɡ ɹ ˈ ɒ m ɪ t ɐ
hygroscopic,h ˌ aɪ ɡ ɹ ə s k ˈ ɒ p ɪ k
hymen,h ˈ aɪ m ɛ n
hymens,h ˈ aɪ m ɛ n z
hymnal,h ˈ ɪ m n ə l
hymnals,h ˈ ɪ m n ə l z
hymnbook,h ˈ ɪ m b ʊ k
hymn,h ˈ ɪ m
hymnody,h ˈ ɪ m n ə d i
hymns,h ˈ ɪ m z
hyoid,h ˈ aɪ ɔɪ d
hyped,h ˈ aɪ p t
hype,h ˈ aɪ p
hyperactive,h ˌ aɪ p ə ɹ ˈ æ k t ɪ v
hyperactivity,h ˌ aɪ p ə ɹ ɐ k t ˈ ɪ v ɪ t i
hyperbaric,h ˌ aɪ p ə b ˈ æ ɹ ɪ k
hyperbola,h aɪ p ˈ ɜː b ə l ɐ
hyperbole,h aɪ p ˈ ɜː b ə l ˌ i
hyperbolic,h ˌ aɪ p ə b ˈ ɒ l ɪ k
hyperboloid,h ˈ aɪ p ə b ˌ ɒ l ɔɪ d
hypercritical,h ˌ aɪ p ə k ɹ ˈ ɪ t ɪ k ə l
hypercube,h ˈ aɪ p ə k j ˌ uː b
hyperfine,h ˈ aɪ p ə f ˌ aɪ n
