headword,pronunciation
intrecciare,i n t r e t ˈ t ʃ a r e
intrepido,i n ˈ t r ɛ p i d o
intrigo,i n ˈ t r i g o
intrinsecare,i n t r i n s e ˈ k a r e
intrinseco,i n ˈ t r i n s e k o
introdurre,i n t r o ˈ d u r r e
introduzione,i n t r o d u ˈ t s j o n e
introflessione,i n t r o f l e s ˈ s j o n e
introgressione,i n t r o g r e s ˈ s j o n e
introgressivo,i n t r o g r e s ˈ s i v o
intromissione,i n t r o m i s ˈ s j o n e
intruglio,i n ˈ t r u ʎ ʎ o
intruso,i n ˈ t r u z o
intuito,i n ˈ t u i t o
inumano,i n u ˈ m a n o
inumare,i n u ˈ m a r e
inutile,i ˈ n u t i l e
inutilmente,i n u t i l ˈ m e n t e
invadente,i n v a ˈ d ɛ n t e
invadere,i n ˈ v a d e r e
invaiatura,i n v a j a ˈ t u r a
invalido,i n ˈ v a l i d o
invalsa,i n ˈ v a l s a
invalse,i n ˈ v a l s e
invalsi,i n ˈ v a l s i
invalso,i n ˈ v a l s o
invano,i n ˈ v a n o
invariabile,i n v a ˈ r j a b i l e
invasatura,i n v a z a ˈ t u r a
invece,i n ˈ v e t ʃ e
inventare,i n v e n ˈ t a r e
inventario,i n v e n ˈ t a r j o
inventore,i n v e n ˈ t o r e
invenzione,i n v e n ˈ t s j o n e
inverare,i n v e r ˈ a r e
inverecondo,i n v e r e ˈ k o n d o
invernale,i n v e r ˈ n a l e
inverno,i n ˈ v ɛ r n o
inverosimile,i n v e r o ˈ s i m i l e
inverso,i n ˈ v ɛ r s o
invertebrato,i n v e r t e ˈ b r a t o
investigare,i n v e s t i ˈ g a r e
investigatore,i n v e s t i g a ˈ t o r e
investigazione,i n v e s t i g a ˈ t s j o n e
investimento,i n v e s t i ˈ m e n t o
investire,i n v e ˈ s t i r e
investitore,i n v e s t i ˈ t o r e
investitura,i n v e s t i ˈ t u r a
invettiva,i n v e t ˈ t i v a
inviare,i n v i ˈ a r e
inviato,i n v i ˈ a t o
invidia,i n ˈ v i d j a
invidiare,i n v i ˈ d j a r e
invidioso,i n v i ˈ d j o z o
invincibile,i n v i n ˈ t ʃ i b i l e
invio,i n ˈ v i o
invito,i n ˈ v i t ɔ
invitto,i n ˈ v i t t o
invocare,i n v o ˈ k a r e
invulnerabile,i n v u l n e ˈ r a b i l e
iodio,ˈ j ɔ d j o
iperbole,i ˈ p ɛ r b o l e
iperbolico,i p e r ˈ b ɔ l i k o
ipercloremia,i p e r k l o r e ˈ m i a
ipertermia,i p e r t e r m i ˈ a
ipertonico,i p e r ˈ t ɔ n i k o
ipertrofia,i p e r t r o ˈ f i a
iperuranio,i p e r u ˈ r a n j o
ipnosi,i ˈ p n ɔ z i
ipnotico,i ˈ p n ɔ t i k o
ipnotizzare,i p n o t i d ˈ d z a r e
ipoacusia,i p o a k u ˈ z i a
ipocondriaco,i p o k o n ˈ d r i a k o
ipocresia,i p o k r e ˈ z i a
ipocresie,i p o k r e ˈ z i e
ipocrisia,i p o k r i ˈ z i a
ipocrisie,i p o k r i ˈ z i e
ipocrita,i ˈ p ɔ k r i t a
ipocriti,i ˈ p ɔ k r i t i
ipofisi,i ˈ p ɔ f i z i
ipogeo,i p o ˈ d ʒ ɛ o
ipolipemizzante,i p o l i p e m i d ˈ d z a n t e
ipopotassiemia,i p o p o t a s s i e ˈ m i a
ipotensivo,i p o t e n ˈ s i v o
ipotenusa,i p o t e ˈ n u s a
ipotenuse,i p o t e ˈ n u s e
ipotermia,i p o t e r ˈ m i a
ipotesi,i ˈ p ɔ t e z i
ipotetico,i p o ˈ t ɛ t i k o
ippico,ˈ i p p i k o
ippocastano,i p p o k a ˈ s t a n o
ippopotami,i p p o ˈ p ɔ t a m i
ippopotamo,i p p o ˈ p ɔ t a m o
iprite,i ˈ p r i t e
ira,ˈ i r a
iracondo,i r a ˈ k o n d o
ire,ˈ i r e
iride,ˈ i r i d e
irideo,i r i ˈ d ɛ o
iridio,i ˈ r i d j o
iris,ˈ i r i s
ironia,i r o ˈ n i a
ironico,i ˈ r ɔ n i k o
irragionevole,i r r a d ʒ o ˈ n e v o l e
irragionevolezza,i r r a d ʒ o n e v o ˈ l e t t s a
irrazionale,i r r a t s j o ˈ n a l e
irreale,i r r e ˈ a l e
irrefrenabile,i r r e f r e ˈ n a b i l e
irrefutabile,i r r e f u ˈ t a b i l e
irregolarità,i r r e g u l a r i t y
irreprensibile,i r r e p r e n ˈ s i b i l e
irrequietezza,i r r e k w j e ˈ t e t t s a
irrequieto,i r r e ˈ k w j ɛ t o
irresponsabile,i r r e s p o n ˈ s a b i l e
irrevocabile,i r r e v o ˈ k a b i l e
irriconoscibile,i r r i k o n o ʃ ˈ ʃ i b i l e
irridere,i r ˈ r i d e r e
irriducibile,i r r i d u ˈ t ʃ i b i l e
irrilevante,i r r i l e ˈ v a n t e
irripetibile,i r r i p e ˈ t i b i l e
irriprovevole,i r r i p r o ˈ v e v o l e
irriprovevoli,i r r i p r o ˈ v e v o l i
irrisorio,i r r i ˈ z ɔ r j o
irrispettoso,i r r i s p e t ˈ t o z o
irritabile,i r r i ˈ t a b i l e
irritare,i r r i ˈ t a r e
irritazione,i r r i t a ˈ t s j o n e
irrompere,i r ˈ r o m p e r e
irruzione,i r r u ˈ t s j o n e
irsutismo,i r s u ˈ t i z m o
islamico,i ˈ z l a m i k o
isobata,i ˈ z ɔ b a t a
isocora,i z o ˈ k ɔ r a
isoieta,i z o ˈ j ɛ t a
isoipsa,i z o ˈ i p s a
isola,ˈ i z o l a
isolamento,i z o l a ˈ m e n t o
isoscele,i ˈ z ɔ ʃ ʃ e l e
isotopi,i ˈ z ɔ t o p i
isotopo,i ˈ z ɔ t o p o
isotropo,i ˈ z ɔ t r o p o
ispettore,i s p e t ˈ t o r e
ispezione,i s p e ˈ t s j o n e
ispido,ˈ i s p i d o
ispirare,i s p i ˈ r a r e
ispirato,i s p i ˈ r a t o
ispirazione,i s p i r a ˈ t s j o n e
israeliano,i z r a e ˈ l j a n o
issare,i s ˈ s a r e
istallare,i s t a l ˈ l a r e
istante,i ˈ s t a n t e
istanza,i ˈ s t a n t s a
istigare,i s t i ˈ g a r e
istimare,i s t i ˈ m a r e
istintivi,i s t i n ˈ t i v i
istintivo,i s t i n ˈ t i v o
istinto,i ˈ s t i n t o
istituto,i s t i ˈ t u t o
istituzionale,i s t i t u t s j o ˈ n a l e
istmo,ˈ i s t m o
istologia,i s t o l o ˈ d ʒ i a
istoriare,i s t o ˈ r j a r e
istrice,ˈ i s t r i t ʃ e
istrione,i s t r i ˈ o n e
istruttivo,i s t r u t ˈ t i v o
istruttore,i s t r u t ˈ t o r e
istruzione,i s t r u ˈ t s j o n e
italiana,i t a ˈ l j a n a
italiane,i t a ˈ l j a n e
italiani,i t a ˈ l j a n i
italianità,i t a ˈ l j a n i ˈ t a
italiano,i t a ˈ l j a n o
italico,i ˈ t a l i k o
italofobia,i t a l o f o ˈ b i a
itinerario,i t i n e ˈ r a r j o
itterbio,i t ˈ t ɛ r b j o
itterizia,i t t e ˈ r i t s j a
ittero,ˈ i t t e r o
ittiologia,i t t j o l o ˈ d ʒ i a
ittrio,ˈ i t t r j o
iuniore,j u ˈ n j o r e
iuniore,j u ˈ n j ɔ r e
iuniori,j u ˈ n j ɔ r i
iuniori,j u ˈ n j o r i
jazzista,d ʒ e t ˈ t s i s t a
jazzistico,d ʒ ɛ t ˈ t s i s t i k o
jolly,ˈ j ɔ l l i
judo,ˈ d ʒ u d o
kalokagathia,k a l o k a g a ˈ t i a
kamikaze,k a m i k a z e
kamikaze,k a m i ˈ k a t s e
kamikaze,k a m i ˈ k a d z e
kanji,ˈ k æ n d ʒ i
kiejtés,ˈ k i ɛ j t eː ʃ
killer,ˈ k i lː e r
kippur,k i ˈ p u r
kirundi,k i ˈ r u n d i
klingon,ˈ k l i n ɡ o n
klingon,ˈ k l i ŋ ɡ o n
kruscioviano,k r u ʃ ʃ o ˈ v j a n o
l,lː
l,ʎː
l,ʎ
l,ɡ l
l,l
l,ˈ ɛ l l e
la,l a
labbro,ˈ l a b b r o
labile,ˈ l a b i l e
labirinto,l a b i ˈ r i n t o
laboratorio,l a b o r a ˈ t ɔ r j o
laborioso,l a b o ˈ r i o s o
lacciola,l a t ˈ t ʃ ɔ l a
lacedemone,l a t ʃ e ˈ d ɛ m o n e
laconico,l a ˈ k ɔ n i k o
lacrima,ˈ l a k r i m a
lacrimogeno,l a k r i ˈ m ɔ d ʒ e n o
lacuna,l a ˈ k u n a
lacune,l a ˈ k u n e
lacunoso,l a k u ˈ n o z o
lacunoso,l a k u ˈ n o s o
ladino,l a ˈ d i n o
ladro,ˈ l a d r o
lager,ˈ l a g e r
lagnanza,l a ˈ ɲ ɲ a n t s a
lago,ˈ l a g o
laguna,l a ˈ ɡ u n a
lagune,l a ˈ ɡ u n e
laico,ˈ l a i k o
laido,ˈ l a i d o
lama,ˈ l a m a
lamantino,l a m a n ˈ t i n o
lamba,ˈ l a m b a
lambere,ˈ l a m b e r e
lambire,l a m ˈ b i r e
lamentela,l a m e n ˈ t ɛ l a
lamento,l a ˈ m e n t o
lamiera,l a ˈ m i ɛ r a
lamina,ˈ l a m i n a
laminato,l a m i ˈ n a t o
laminatura,l a m i n a ˈ t u r a
laminazione,l a m i n a ˈ t s j o n e
lampada,ˈ l a m p a d a
lampadario,l a m p a ˈ d a r j o
lampadina,l a m p a ˈ d i n a
lampante,l a m ˈ p a n t e
lampanti,l a m ˈ p a n t e
lampione,l a m ˈ p i o n e
lampo,ˈ l a m p o
lampone,l a m ˈ p o n e
lana,ˈ l a n a
lancia,ˈ l a n t ʃ a
lanciamissili,l a n t ʃ a ˈ m i s s i l i
lanciare,l a n ˈ t ʃ i a r e
lancinante,l a n t ʃ i ˈ n a n t e
lancio,ˈ l a n t ʃ o
languire,l a n ˈ g u i r e
lanista,l a ˈ n i s t a
lantanide,l a n ˈ t a n i d e
lantanio,l a n ˈ t a n j o
lanterna,l a n ˈ t ɛ r n a
lanzichenecco,l a n t s i k e ˈ n e k k o
lapalissiano,l a p a l i s ˈ s j a n o
lapidazione,l a p i d a ˈ t s i o n e
lapsus,ˈ l a p s u s
larghezza,l a r ˈ g h e t t s a
larghezze,l a r ˈ g h e t t s e
largo,ˈ l a r g o
laringe,l a ˈ r i ŋ d ʒ e
larva,ˈ ˈ l a r v a
larvale,l a r ˈ v a l e
lasagna,l a ˈ z a ɲ a
lasciare,l a ˈ ʃ ʃ aː r e
lascivo,l a ˈ ʃ ʃ i v o
lassativo,l a s s a ˈ t i v o
lasso,ˈ l a s s o
lastra,ˈ l a s t r a
latente,l a ˈ t ɛ n t e
latice,ˈ l a t i t ʃ e
latici,ˈ l a t i t ʃ i
latifondo,l a t i ˈ f o n d o
latinista,l a t i ˈ n i s t a
latino,l a ˈ t iː n o
latitante,l a t i ˈ t a n t e
latitudine,l a t i ˈ t u d i n e
lato,ˈ l a t o
latta,ˈ l a t t a
lattica,ˈ l a t t i k a
lattice,ˈ l a t t i t ʃ e
lattiche,ˈ l a t t i k e
lattici,ˈ l a t t i t ʃ i
lattico,ˈ l a t t i k o
lattiera,l a t ˈ t j ɛ r a
lattiginoso,l a t t i d ʒ i ˈ n o s o
lattotropo,l a t ˈ t ɔ t r o p o
laurea,ˈ l a u r e a
laureato,l a u r e ˈ a t o
laurenzio,l a u ˈ r ɛ n t s j o
lauro,ˈ l a u r o
lauto,ˈ l a u t o
lavagna,l a ˈ v a ɲ ɲ a
lavanda,l a ˈ v a n d a
lavandino,l a v a n ˈ d i n o
lavatrice,l a v a ˈ t r i t ʃ e
lavorare,l a v o ˈ r a r e
lavorismi,l a v o ˈ r i z m i
lavoro,l a ˈ v o r o
lazzarone,l a d d z a ˈ r o n e
lazzo,ˈ l a t t s o
leale,l e ˈ a l e
lealtà,l e a l ˈ t a
lebbra,l e b b r a
leccare,l e k ˈ k a r e
lecite,ˈ l e t ʃ i t e
lecitina,l e t ʃ i ˈ t i n a
lecito,ˈ l e t ʃ i t o
ledere,ˈ l ɛ d e r e
lega,ˈ l e g a
legale,l e ˈ g a l e
legalità,l e g a l i ˈ t a
legame,l e ˈ g a m e
legare,l e ˈ g a r e
legge,ˈ l e d d ʒ e
leggenda,l e g ˈ g ɛ n d a
leggendari,l e d d ʒ e n ˈ d a r i
leggendario,l e d d ʒ e n ˈ d a r j o
leggere,l e g ˈ g ɛ r e
leggere,ˈ l ɛ d d ʒ e r e
leggermente,l e d d ʒ ɛ r ˈ m e n t e
leggero,l e g ˈ g ɛ r o
leggibile,l e g ˈ g i b i l e
leggio,l e d ˈ d ʒ i o
legislativo,l e d ʒ i z l a ˈ t i v o
legislatore,l e d ʒ i z l a ˈ t o r e
legislazione,l e d ʒ i z l a ˈ t s i o n e
legittimare,l e d ʒ i t t i ˈ m a r e
legittimità,l e d ʒ i t t i m i ˈ t a
legnata,l e ɲ ˈ ɲ a t a
legno,ˈ l e ɲ ɲ o
legnoso,l e ˈ ɲ ɲ o s o
leguleio,l e g u ˈ l ɛ j o
legume,l e ˈ g u m e
lembo,ˈ l e m b o
lemma,ˈ l ɛ m m a
lemuri,ˈ l ɛ m u r e
lenona,l e ˈ n oː n a
lenona,l e ˈ n o n a
lenone,l e ˈ n oː n e
lenone,l e ˈ n o n e
lenoni,l e ˈ n oː n i
lenoni,l e ˈ n o n i
lente,ˈ l ɛ n t e
lentezza,l e n ˈ t e t t s a
lentiggine,l e n ˈ t i d d ʒ i n e
lento,ˈ l ɛ n t o
lenzuola,l e n ˈ t s w ɔ l a
lenzuoli,l e n ˈ t s w ɔ l i
lenzuolo,l e n ˈ t s w ɔ l o
leone,l e ˈ o n e
leopardo,l e o ˈ p a r d o
lepre,ˈ l ɛ p r e
lesa,ˈ l e z a
lesbica,ˈ l ɛ z b i k a
lesena,l e ˈ s ɛ n a
lesina,ˈ l e z i n a
lesina,ˈ l e s i n a
lesinare,l e z i ˈ n a r e
lesinato,l e z i ˈ n a t o
lesivo,l e ˈ s i v o
lessicale,l e s s i ˈ k a l e
lessicali,l e s s i ˈ k a l i
lessici,ˈ l ɛ s s i t ʃ i
lessico,l ɛ sː ɪ k o
lessicografa,l e s s i ˈ k o g r a f a
lessicografe,l e s s i ˈ k o g r a f e
lessicografi,l e s s i ˈ k o g r a f i
lessicografia,l e s s i k o g r a ˈ f i a
lessicografica,l e s s i k o ˈ g r a f i k a
lessicografiche,l e s s i k o ˈ g r a f i k e
lessicografici,l e s s i k o ˈ g r a f i t ʃ i
lessicografico,l e s s i k o ˈ g r a f i k o
lessicografie,l e s s i k o g r a ˈ f i e
lessicografo,l e s s i ˈ k o g r a f o
lessicologia,l e s s i k o l o ˈ g i a
lessicologie,l e s s i k o l o ˈ g i e
lesso,ˈ l e s s o
lesto,ˈ l ɛ s t o
lestofante,l e s t o ˈ f a n t e
letame,l e ˈ t a m e
letargica,l e ˈ t a r d ʒ i k a
letargiche,l e ˈ t a r d ʒ i k e
letargici,l e ˈ t a r d ʒ i t ʃ i
letargico,l e ˈ t a r d ʒ i k o
letargo,l e ˈ t a r g o
letizia,l e ˈ t i t t s j a
lettera,ˈ l ɛ t t e r a
lettera,ˈ l e t t e r a
letterale,l e t t e ˈ r a l e
letterario,l e t t e ˈ r a r j o
letterata,l e t t e ˈ r a t a
letterate,l e t t e ˈ r a t e
letterati,l e t t e ˈ r a t i
letterato,l e t t e ˈ r a t o
letto,ˈ l ɛ t t o
lettura,l e t ˈ t u r a
leucemia,l e u t ʃ e ˈ m i a
leucopoietico,l e w k o p o ˈ j ɛ t i k o
leva,ˈ l ɛ v a
levante,l e ˈ v a n t e
levanti,l e ˈ v a n t i
levarsi,l e ˈ v a r s i
levatrice,l e v a ˈ t r i t ʃ e
lezione,l e ˈ t s i o n e
liaison,l ɪ ˈ e ɪ z ɒ n
libanomanzia,l i b a n o m a n ˈ t s i a
libbra,ˈ l i b b r a
libellula,l i ˈ b ɛ l l u l a
liberalismo,ˈ r ɛ g g e
liberalizzazione,l i b e r a l i d d z a t ˈ t s j o n e
liberare,l i b e ˈ r a r e
liberarsi,l i b e ˈ r a r s i
liberazione,l i b e r a ˈ t s i o n e
liberismo,l i b e ˈ r i z m o
libero,ˈ l i b e r o
libertario,l i b e r ˈ t a r j o
libertino,l i b e r ˈ t i n o
liberto,l i ˈ b ɛ r t o
libertà,l i b e r ˈ t a
libico,ˈ l i b i k o
libra,ˈ l i b r a
libreria,l i b r e ˈ r i a
libresco,l i ˈ b r e s k o
librettista,l i b r e t ˈ t i s t a
libretto,l i ˈ b r e t t o
libro,ˈ l i b r o
liceale,l i t ʃ e ˈ a l e
licenziamento,l i t ʃ e n t s j a ˈ m e n t o
liceo,l i ˈ t ʃ ɛ o
lieto,ˈ l i ɛ t o
lieve,ˈ l i ɛ v e
lievemente,l j e v e ˈ m e n t e
lievitazione,l j e v i t a ˈ t s i o n e
lievito,ˈ l j ɛ v i t o
light,ˈ l a i t
lignaggio,l i ˈ ɲ ɲ a d d ʒ o
ligroina,l i g r o ˈ i n a
ligure,ˈ l i g u r e
liliale,l i ˈ l i a l e
lilla,ˈ l i l l a
lillipuziano,l i l l i p u t ˈ t s j a n o
limbo,ˈ l i m b o
limitare,l i m i ˈ t a r e
limitare,l i m i ˈ t̪ a r e
limitatamente,l i m i t a t a ˈ m e n t e
limite,ˈ l i m i t e
limitrofo,l i ˈ m i t r o f o
limonata,l i m o ˈ n a t a
limoncello,l i m o n ˈ t ʃ ɛ l l o
limoncino,l i m o n ˈ t ʃ i n o
limone,l i ˈ m o n e
limpido,ˈ l i m p i d o
linciare,l i n ˈ t ʃ i a r e
lindo,ˈ l i n d o
linea,ˈ l i n e a
lineamento,l i n e a ˈ m e n t o
lineare,l i n e ˈ a r e
linfocitario,l i n f o t ʃ i ˈ t a r j o
lingeria,l i n d ʒ e ˈ r i a
lingerie,l i n d ʒ e ˈ r i e
lingerie,l i n ʒ e ˈ r i
lingua,ˈ l i ŋ g w a
linguaggio,l i n ˈ g u a d d ʒ o
linguina,l i n ˈ g u i n a
linguista,l i n ˈ g w i s t a
linguistica,l i n ˈ g u i s t i k a
linguistico,l i n ˈ g u i s t i k o
lino,ˈ l i n o
liofilizzare,l i o f i l i d ˈ d z a r e
liofilo,l i ˈ ɔ f i l o
lipide,l i ˈ p i d e
lipoforo,l i ˈ p ɔ f o r o
liquefare,l i k w e ˈ f a r e
liquefatta,l i k w e ˈ f a t t a
liquefatte,l i k w e ˈ f a t t e
liquefatti,l i k w e ˈ f a t t i
liquefatto,l i k w e ˈ f a t t o
liquidare,l i k w i ˈ d a r e
liquidatore,l i k w i ˈ d a r e
liquidazione,l i k w i d a ˈ t s i o n e
liquido,ˈ l i k w i d o
lira,ˈ l i r a
lisca,ˈ l i s k a
lische,ˈ l i s k e
liscio,ˈ l i ʃ o
liscivia,l i ˈ ʃ ʃ i v j a
lisciviazione,l i ʃ ʃ i v j a ˈ t s i o n e
lista,ˈ l i s t a
litania,l i t a ˈ n i a
lite,ˈ l i t e
litico,ˈ l i t i k o
litigioso,l i t i ˈ d ʒ o s o
litigioso,l i t i ˈ d ʒ o z o
litio,ˈ l i t j o
litologia,l i t o l o ˈ g i a
litoraneo,l i t o ˈ r a n e o
litote,l i ˈ t ɔ t e
liturgia,l i t u r ˈ g i a
live,l a j v
live,l a n g e n
livellato,l i v e l ˈ l a t o
livellatore,l i v e l l a ˈ t o r e
livore,l i ˈ v o r e
lizza,ˈ l i t t s a
lo,l o
lobby,ˈ l ɔ b b i
lobbycrazia,l o b b i k r a ˈ t s i a
lobi,ˈ l ɔ b i
lobo,ˈ l ɔ b o
lobotomia,ˌ l ɔ b o t ɔ ˈ m j a
locale,l o ˈ k a l e
località,l o k a l i ˈ t a
locanda,l o ˈ k a n d a
locatario,l o k a ˈ t a r j o
locativo,l o k a ˈ t i v o
locatore,l o k a ˈ t o r e
locazione,l o k a ˈ t s i o n e
locomotiva,l o k o m o ˈ t i v a
locomotore,l o k o m o ˈ t o r e
locomotrice,l o k o m o ˈ t r i t ʃ e
locuzione,l o k u ˈ t s i o n e
lodare,l o ˈ d a r e
lode,ˈ l ɔ d e
lodevole,l o ˈ d e v o l e
lodo,ˈ l ɔ d o
loghi,ˈ l ɔ ɡ i
logica,ˈ l ɔ d ʒ i k a
logicità,l o d ʒ i t ʃ i ˈ t a
logico,ˈ l ɔ d ʒ i k o
loglio,ˈ l ɔ ʎ ʎ o
logorio,l o g o ˈ r i o
logorroico,l o g o r ˈ r ɔ j k o
logos,ˈ l ɔ ɡ o s
lombalgia,l o m b a l ˈ d ʒ i a
lombarda,l o m ˈ b a r d a
lombarde,l o m ˈ b a r d e
lombardo,l o m ˈ b a r d o
lombrico,l o m ˈ b r i k o
longevo,l o n ˈ g ɛ v o
longitudinale,l o n d ʒ i t u d i ˈ n a l e
longitudine,l o ŋ d ʒ i ˈ t u d i n e
lontananza,l o n t a ˈ n a n t s a
lontano,l o n ˈ t a n o
lontra,ˈ l o n t r a
look,l u k
loquace,l o ˈ k w a t ʃ e
loquaci,l o ˈ k w a t ʃ i
loquacità,l o k w a t ʃ i ˈ t a
loquela,l o ˈ k w ɛ l a
lordo,ˈ l o r d o
lordura,l o r ˈ d u r a
losanga,l o ˈ s a ŋ g a
losangelino,l o s a n d ʒ e ˈ l i n o
losco,l o s k o
lossodromia,l o s s o ˈ d r ɔ m j a
lossodromia,l o s s o d r o ˈ m i a
loto,ˈ l ɔ t o
lotta,ˈ l ɔ t t a
lottare,l o t ˈ t a r e
lotteria,l o t t e ˈ r i a
lotto,ˈ l ɔ t t o
lubrificante,l u b r i f i ˈ k a n t e
lubrorefrigerante,l u b r o r e ˈ f r i d͡ ʒ e r ã t e
lucano,l u ˈ k a n o
lucchetto,l u k ˈ k e t t o
luccicare,l u t t ʃ i ˈ k a r e
lucciola,ˈ l u t t ʃ o l a
luce,ˈ l uː t ʃ e
lucente,l u ˈ t ʃ ɛ n t e
lucentezza,l u t ʃ e n ˈ t e t t s a
lucerna,l u ˈ t ʃ ɛ r n a
lucertola,l u ˈ t ʃ ɛ r t o l a
lucidatura,l u t ʃ i d a ˈ t u r a
lucido,ˈ l u t ʃ i d o
lucrosa,l u ˈ k r o z a
lucrose,l u ˈ k r o z e
lucrosi,l u ˈ k r o z i
lucroso,l u ˈ k r o z ɔ
ludica,ˈ l u d i k a
ludiche,ˈ l u d i k e
ludici,ˈ l u d i t ʃ i
ludico,ˈ l u d i k o
luglio,ˈ l u ʎ ʎ o
lumaca,l u ˈ m a k a
lumachicida,l u m a k i ˈ t ʃ i d a
lumbard,l ũ ˈ b ɒː r t
lume,ˈ l u m e
lumi,ˈ l u m i
luminaria,l u m i ˈ n a r j a
luminario,l u m i ˈ n a r j o
luminescenza,l u m i n e ˈ ʃ ʃ ɛ n t s a
luna,ˈ l uː n a
lunare,l u ˈ n a r e
lunatico,l u ˈ n a t i k o
lunedì,l u n e ˈ d i
lunetta,l u ˈ n e t t a
lunghezza,l u n ˈ g h e t t s a
lunghissima,l u ŋ ˈ g i s s i m a
lunghissimo,l u ŋ ˈ g i s s i m o
lungimirante,l u ŋ d ʒ i m i ˈ r a n t e
lungo,ˈ l u ŋ g o
luogo,ˈ l u ɔ g o
lupo,ˈ l uː p o
lusinghiero,l u z i n ˈ g j ɛ r o
lusitano,l u z i ˈ t a n o
lussazione,l u s s a t ˈ t s j o n e
lusso,ˈ l u s s o
lussureggiante,l u s s u r e d ˈ d ʒ i a n t e
lussurioso,l u s s u ˈ r j o s o
lussurioso,l u s s u ˈ r j o z o
lustro,ˈ l u s t r o
luteranesimo,l u t e r a ˈ n e z i m o
luterano,l u t e ˈ r a n o
lutezio,l u ˈ t ɛ t s j o
lutto,ˈ l u t t o
là,l a
lì,l i
lógos,ˈ l ɔ ɡ o s
ma,ˈ m a
macabro,ˈ m a k a b r o
macaco,m a ˈ k a k o
macchia,ˈ m a k k j a
macchiare,m a k ˈ k j a r e
macchiatico,m a k ˈ k j a t i k o
macchietta,m a k ˈ k j e t t a
macchina,ˈ m a k k i n a
macchinale,m a k k i ˈ n a l e
macchinalmente,m a k k i n a l ˈ m e n t e
macchinare,m a k k i ˈ n a r e
macchinario,m a k k i ˈ n a r j o
macchinatore,m a k k i n a ˈ t o r e
macchinazione,m a k k i n a ˈ t s j o n e
macchinismo,m a k k i ˈ n i z m o
macchinista,m a k k i ˈ n i s t a
macedone,m a ˈ t ʃ ɛ d o n e
macedonia,m a t ʃ e ˈ d ɔ n j a
macellaio,m a t ʃ e l ˈ l a j o
macellare,m a t ʃ e l ˈ l a r e
macelleria,m a t ʃ e l l e ˈ r i a
macello,m a ˈ t ʃ ɛ l l o
macerare,m a t ʃ e ˈ r a r e
macero,ˈ m a t ʃ e r o
macigno,m a ˈ t ʃ i ɲ ɲ o
macilento,m a t ʃ i ˈ l ɛ n t o
macinare,m a t ʃ i ˈ n a r e
macramè,m a k r a ˈ m ɛ
macroeconomia,m a k r o e k o n o ˈ m i a
macrooggetto,m a k r o o d ˈ d ʒ ɛ t t o
macroscopico,m a k r o ˈ s k ɔ p i k o
madamigella,m a d a m i ˈ d ʒ ɛ l l a
madia,ˈ m a d j a
madido,ˈ m a d i d o
madiere,m a ˈ d j ɛ r e
madornale,m a d o r ˈ n a l e
madre,ˈ m a d r e
maestoso,m a e ˈ s t o z o
maestralata,m a e s t r a ˈ l a t a
maestrale,m a e ˈ s t r a l e
maestro,m a ˈ ɛ s t r o
mafioso,m a ˈ f j o z o
maga,ˈ m a g a
magazzino,m a g a d ˈ d z i n o
maggio,ˈ m a d d ʒ o
maggioranza,m a d d ʒ o ˈ r a n t s a
maggiorare,m a d d ʒ o ˈ r a r e
maggiordomo,m a d d ʒ o r ˈ d ɔ m o
maggiore,m a d ˈ d ʒ o r e
maggiorenne,m a d d ʒ o ˈ r ɛ n n e
maggiorente,m a d d ʒ o ˈ r e n t e
magia,m a ˈ d ʒ i a
magistrale,m a d ʒ i ˈ s t r a l e
magistrali,m a d ʒ i ˈ s t r a l i
magistrato,m a d ʒ i ˈ s t r a t o
magistratura,m a d ʒ i s t r a ˈ t u r a
maglia,ˈ m a ʎ ʎ a
magliaro,m a ʎ ˈ ʎ a r o
maglione,m a ʎ ˈ ʎ o n e
magna,ˈ m a ɲ ɲ a
magnaccia,m a ˈ ɲ a t ʃ a
magnanimo,m a ˈ ɲ ɲ a n i m o
magnano,m a ˈ ɲ a n o
magnate,m a ˈ ɲ ɲ a t e
magne,ˈ m a ɲ ɲ e
magnesio,m a ˈ ɲ ɲ ɛ z j o
magnete,m a ɲ ˈ ɲ ɛ t e
magnetismo,m a ɲ ɲ e ˈ t i z m o
magnetofisica,m a ɲ e t o ˈ f i z i k a
magni,ˈ m a ɲ ɲ i
magnificentissima,m a ɲ ɲ i f i t ʃ e n ˈ t i s s i m a
magnificentissime,m a ɲ ɲ i f i t ʃ e n ˈ t i s s i m e
magnificentissimi,m a ɲ ɲ i f i t ʃ e n ˈ t i s s i m i
magnificentissimo,m a ɲ ɲ i f i t ʃ e n ˈ t i s s i m o
magnifico,m a ɲ ˈ ɲ i f i k o
magniloquenza,m a ɲ ɲ i l o ˈ k w ɛ n t s a
magnitudine,m a ɲ ɲ i ˈ t u d i n e
magno,ˈ m a ɲ ɲ o
mago,ˈ m a g o
magra,ˈ m a g r a
magre,ˈ m a g r e
magri,ˈ m a g r i
magrissima,m a ˈ ɡ r i s s i m a
magrissime,m a ˈ ɡ r i s s i m e
magrissimi,m a ˈ ɡ r i s s i m i
magrissimo,m a ˈ ɡ r i s s i m o
magro,ˈ m a g r o
maiale,m a ˈ j a l e
maieutica,m a ˈ j e u t i k a
maiolica,m a ˈ j ɔ l i k a
mais,ˈ m a i s
